"FriendlyName","GUID"
"Project Plan 5 for GCC","System.Object[]"
"Project Plan 5 without Project Client for Faculty","System.Object[]"
"Rights Management Adhoc","System.Object[]"
"Rights Management Service Basic Content Protection","System.Object[]"
"Sensor Data Intelligence Additional Machines Add-in for Dynamics 365 Supply Chain Management","System.Object[]"
"Sensor Data Intelligence Scenario Add-in for Dynamics 365 Supply Chain Management","System.Object[]"
"SharePoint Online (Plan 1)","System.Object[]"
"SharePoint Online (Plan 2)","System.Object[]"
"SharePoint Syntex","System.Object[]"
"Skype for Business Online (Plan 1)","System.Object[]"
"Skype for Business Online (Plan 2)","System.Object[]"
"Skype for Business PSTN Calling Domestic Small","System.Object[]"
